Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
8/29/2019,2924.58,421202599,9/2/2019,873.6,1598525236,8/30/2019,8748.45,54804694,8/30/2019,23179.46,533436116,8/30/2019,6562.09,1073721833,9/2/2019,3848.32,11028934864
8/30/2019,2926.46,532980531,9/3/2019,873.53,2135727298,9/2/2019,8742.67,35433646,9/2/2019,23315.15,382234363,9/2/2019,6538.71,645062266,9/3/2019,3853.61,9771463094
9/3/2019,2906.27,489524393,9/4/2019,878.01,1629312245,9/3/2019,8697.45,35545411,9/3/2019,23256.87,551134073,9/3/2019,6533.79,585058488,9/4/2019,3886,12662861461
9/4/2019,2937.78,449778606,9/5/2019,880.25,1724506264,9/4/2019,8771.8,35088567,9/4/2019,23617.54,571975757,9/4/2019,6514.2,812114425,9/5/2019,3925.32,18165623072
9/5/2019,2976,535529513,9/6/2019,881.99,1852092676,9/5/2019,8829.16,48261006,9/5/2019,23845.81,600040079,9/5/2019,6574.19,942816929,9/6/2019,3948.51,12188237610
9/6/2019,2978.71,445306999,9/9/2019,877.62,2141556435,9/6/2019,8846.55,37948834,9/6/2019,23834.79,529149200,9/6/2019,6607.01,847658436,9/9/2019,3972.95,14680975390
9/9/2019,2978.43,537167489,9/10/2019,875.4,1831255114,9/9/2019,8867.09,35197941,9/9/2019,23900.77,464318882,9/9/2019,6608.54,678374554,9/10/2019,3959.27,13088938553
9/10/2019,2979.39,575489940,9/11/2019,880.27,2949576474,9/10/2019,8821.1,47169550,9/10/2019,23779.03,613229191,9/10/2019,6575.52,897104210,9/11/2019,3930.1,13159487549
9/11/2019,3000.93,523074343,9/12/2019,880.5,1764132522,9/11/2019,8873.96,47285276,9/11/2019,23817.83,709681653,9/11/2019,6599.03,985162718,9/12/2019,3972.38,11024127293
9/12/2019,3009.57,556338228,9/13/2019,886.06,1290206136,9/12/2019,8913.46,60116252,9/12/2019,24017.47,793120519,9/12/2019,6615.14,814655126,9/16/2019,3957.72,11025980468
9/13/2019,3007.39,491998481,9/16/2019,887.16,1176823209,9/13/2019,8961.61,46012452,9/13/2019,24147.91,671961024,9/13/2019,6628.75,813706758,9/17/2019,3891.22,11369431699
